termo;variavel;categoria;referencia;unidade;escala_numerica;centro;imputados;mediana_imputacao;beta_log_odds;erro_padrao_cluster;z;p_valor;beta_ic95_inferior;beta_ic95_superior;odds_ratio;or_ic95_inferior;or_ic95_superior;significativo_5pct
Regiao[Sul];Regiao;Sul;Sudeste;categoria versus referencia;1.0;0.0;0;;-0.1749475722065337;0.06436722877595062;-2.7179602964653182;0.006568571969747195;-0.3011050223920471;-0.04879012202102029;0.8395010328022329;0.740000052089989;0.9523809925222977;True
Modalidade[CONCORRÊNCIA ELETRÔNICA];Modalidade;CONCORRÊNCIA ELETRÔNICA;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;-0.3963913347686581;0.43226429082877466;-0.9170115209115752;0.3591366030288621;-1.243613776595804;0.4508311070584878;0.6727433765441038;0.2883403353403576;1.5696161626146792;False
Modalidade[CREDENCIAMENTO];Modalidade;CREDENCIAMENTO;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;0.9797498595222032;0.43369779719616436;2.2590611846687705;0.023879579192387552;0.1297177968433646;1.8297819222010419;2.6637898369229003;1.1385070477030776;6.232527334467858;True
Modalidade[DISPENSA ELETRÔNICA];Modalidade;DISPENSA ELETRÔNICA;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;0.6911821208670922;0.08874666525021914;7.7882602001812735;6.793816255170122e-15;0.5172418532286304;0.865122388505554;1.9960737395457995;1.6773947625958259;2.3752967772109264;True
Modalidade[LEILÃO ELETRÔNICO];Modalidade;LEILÃO ELETRÔNICO;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;0.6388676475449119;0.7746516221446464;0.8247160778882608;0.409532801554933;-0.8794216324241256;2.1571569275139493;1.8943346099212786;0.41502287805642074;8.646519997044015;False
Modalidade[LICITAÇÃO 13.303];Modalidade;LICITAÇÃO 13.303;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;0.16552438273545772;0.3458443730788803;0.4786094429175659;0.6322164993262149;-0.5123181327549815;0.8433668982258968;1.1800117342826477;0.5991051625491854;2.324179092565283;False
Modalidade[SELEÇÃO PÚBLICA];Modalidade;SELEÇÃO PÚBLICA;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;0.7300905306608646;0.30195283729073713;2.417895911201167;0.015610541581644603;0.13827384454133684;1.3219072167803922;2.0752684745966126;1.14828996015996;3.750567705960444;True
TipoDisputa[MAIOR DESCONTO];TipoDisputa;MAIOR DESCONTO;MENOR LANCE;categoria versus referencia;1.0;0.0;0;;-1.0757674403922997;0.2142271240012306;-5.021621073464629;5.123719001973741e-07;-1.4956448879463078;-0.6558899928382915;0.3410359300982431;0.22410403612865293;0.5189799685321396;True
TipoDisputa[MAIOR LANCE];TipoDisputa;MAIOR LANCE;MENOR LANCE;categoria versus referencia;1.0;0.0;0;;2.128672492491765;0.48068684115524113;4.428397680651915;9.493573709755008e-06;1.1865435959851665;3.0708013889983636;8.403703423946917;3.275739339032004;21.559173038025158;True
TipoDisputa[MELHOR TÉCNICA];TipoDisputa;MELHOR TÉCNICA;MENOR LANCE;categoria versus referencia;1.0;0.0;0;;0.7852388612641878;0.8999992062609482;0.872488393102553;0.38294199743517965;-0.9787271691219062;2.549204891650282;2.1929306843752374;0.3757891105564025;12.796924794745136;False
