termo;variavel;categoria;referencia;unidade;escala_numerica;centro;imputados;mediana_imputacao;beta_log_odds;erro_padrao_cluster;z;p_valor;beta_ic95_inferior;beta_ic95_superior;odds_ratio;or_ic95_inferior;or_ic95_superior;significativo_5pct
tipo_lote_calc[Lote global/kit];tipo_lote_calc;Lote global/kit;Lote unitário;categoria versus referencia;1.0;0.0;0;;-0.3582219459376739;0.18857818031671367;-1.899593820112415;0.05748644385269365;-0.7278283876285329;0.011384495753185009;0.6989179357942865;0.48295664675537076;1.0114495457443753;False
grupo_exclusividade_regionalidade[ME_EPP_E_REGIONAL_LOCAL];grupo_exclusividade_regionalidade;ME_EPP_E_REGIONAL_LOCAL;SEM_CRITERIO;categoria versus referencia;1.0;0.0;0;;0.1522408657696043;0.18626248330397152;0.8173458394257229;0.41373081764292574;-0.212826893177173;0.5173086247163816;1.1644406765562607;0.8082960466670409;1.6775067684790286;False
grupo_exclusividade_regionalidade[SOMENTE_ME_EPP];grupo_exclusividade_regionalidade;SOMENTE_ME_EPP;SEM_CRITERIO;categoria versus referencia;1.0;0.0;0;;0.24444651274697138;0.07176278236625411;3.4063131986632733;0.0006584659363976145;0.10379404387872726;0.3850989816152155;1.2769143617561856;1.109371949441584;1.4697597934398323;True
grupo_exclusividade_regionalidade[SOMENTE_REGIONAL_LOCAL];grupo_exclusividade_regionalidade;SOMENTE_REGIONAL_LOCAL;SEM_CRITERIO;categoria versus referencia;1.0;0.0;0;;0.005438161421054745;0.3507755456817136;0.015503251261389867;0.9876306906738389;-0.6820692747724884;0.692945597614598;1.0054529750616914;0.5055697464973847;1.9995968747422588;False
familia_textual_ml[FAMILIAS_RARAS_MENOS_100];familia_textual_ml;FAMILIAS_RARAS_MENOS_100;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.7028742631900132;0.4759669575602686;-1.4767291132830642;0.13974826486923247;-1.635752357839244;0.23000383145921754;0.49516003621031646;0.19480575251616775;1.2586048322133252;False
familia_textual_ml[FAMILIA_02];familia_textual_ml;FAMILIA_02;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;0.42837401077053155;0.08292065182956472;5.16607143478578;2.390654540678016e-07;0.26585251960999934;0.5908955019310638;1.5347599904033262;1.304542650040225;1.8056046140539654;True
familia_textual_ml[FAMILIA_05];familia_textual_ml;FAMILIA_05;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;0.019388581456464028;0.2442308919811758;0.07938627787494798;0.9367253828628382;-0.4592951707387328;0.4980723336516609;1.0195777606627427;0.6317287495351837;1.6455461474611213;False
familia_textual_ml[FAMILIA_07];familia_textual_ml;FAMILIA_07;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.8834170073738948;0.30464675908650257;-2.899807665845065;0.0037339169900340594;-1.4805136831902903;-0.28632033155749936;0.4133680141481403;0.22752078475809775;0.7510220013633083;True
familia_textual_ml[FAMILIA_09];familia_textual_ml;FAMILIA_09;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;1.4013831254889924;0.26648300955489795;5.258808536535589;1.4499175391162007e-07;0.8790860242695493;1.9236802267084354;4.060812697942721;2.4086972092647874;6.846107391308925;True
familia_textual_ml[FAMILIA_10];familia_textual_ml;FAMILIA_10;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;0.19296115651419612;0.09550968334034153;2.0203308163696203;0.043349084358421386;0.00576561699230152;0.3801566960360907;1.2128356818385446;1.0057822701518155;1.4625137415861735;True
familia_textual_ml[FAMILIA_12];familia_textual_ml;FAMILIA_12;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.5407577578583441;0.35369281083152015;-1.528891007388701;0.12629146592521287;-1.233982928678862;0.1524674129621737;0.5823068375702067;0.29113071253955025;1.1647045072063662;False
familia_textual_ml[FAMILIA_14];familia_textual_ml;FAMILIA_14;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;1.8946282420689529;0.7707494032641001;2.45816374822382;0.01396494832834159;0.3839871705655782;3.4052693135723278;6.650075726649078;1.4681266063271474;30.122407004667284;True
familia_textual_ml[FAMILIA_16];familia_textual_ml;FAMILIA_16;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;0.47038870159786805;0.38608476055846547;1.2183560441946952;0.22308870113699664;-0.28632352407649464;1.2271009272722306;1.6006162344032129;0.7510196037151304;3.4113255062339274;False
familia_textual_ml[FAMILIA_17];familia_textual_ml;FAMILIA_17;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.2815390565037963;0.4146415658620394;-0.6789938097944351;0.49714178417180177;-1.0942215920866862;0.5311434790790936;0.7546214422244978;0.334800116604208;1.7008761133084498;False
familia_textual_ml[FAMILIA_18];familia_textual_ml;FAMILIA_18;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-1.0573690041238377;0.3376199406302277;-3.131832207985317;0.0017371912656115414;-1.7190919282216353;-0.3956460800260402;0.3473685342983064;0.17922882667769174;0.6732449286048504;True
familia_textual_ml[FAMILIA_19];familia_textual_ml;FAMILIA_19;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.07413739721160208;0.160526974365634;-0.46183762887562146;0.6441977642490926;-0.3887644855154292;0.24048969109222507;0.9285441057053874;0.6778939050486931;1.2718718221522973;False
